VBN_ABUJA_WUSE_PRI_S_2-10.35.10.114,10.35.10.114
VBN_KADUNA_UNGWAN-SANUSI_PRI_S_1-10.35.75.34,10.35.75.34
VBN_KADUNA_MAKERAI_SEC_S_1-10.35.75.35,10.35.75.35
VBN_KADUNA_KACHIA-ROAD_SEC_S_1-10.35.12.106,10.35.12.106
VBN_KADUNA_UNGWAN-RIMI_SEC_S_1-10.35.12.109,10.35.12.109
VBN_PHC_TRANS-AMADI_PRI_S_3-10.35.12.10,10.35.12.10
VBN_KANO_KAN-RADIO_PRI_S_1-10.35.12.130,10.35.12.130
VBN_KANO_GWARAN-QUARTERS_SEC_S_1-10.35.12.135,10.35.12.135
VBN_KANO_KAWON-QUARTERS_SEC_S_1-10.35.12.136,10.35.12.136
VBN_KANO_KAN-RADIO_PRI_S_2-10.35.12.138,10.35.12.138
VBN_KANO_SABON-GARI_SEC_S_1-10.35.12.139,10.35.12.139
VBN_PHC_TRANS-AMADI_PRI_S_2-10.35.12.8,10.35.12.8
VBN_PHC_WIMPEY_PRI_S_1-10.35.12.18,10.35.12.18
VBN_PHC_OZUOBA_SEC_S_1-10.35.12.19,10.35.12.19
VBN_ABA_OVER-RAIL_PRI_S_1-10.35.12.194,10.35.12.194
VBN_PHC_TRANS-AMADI_PRI_S_1-10.35.12.4,10.35.12.4
VBN_BENIN_IWEGIE_PRI_S_1-10.35.12.202,10.35.12.202
VBN_BENIN_UGBOWO_SEC_S_1-10.35.12.204,10.35.12.204
VBN_BENIN_AGBOR-ROAD_SEC_S_1-10.35.12.210,10.35.12.210
VBN_ENUGU_THINKERS-CORNER_SEC_S_1-10.35.12.219,10.35.12.219
VBN_ENUGU_OGUI-ROAD_SEC_S_1-10.35.12.220,10.35.12.220
VBN_ONITSHA_ST-CHARLES-BORROMEO_PRI_S_1-10.35.12.242,10.35.12.242
VBN_ASABA_OBI-UGBE-ROAD_SEC_S_1-10.35.12.244,10.35.12.244
VBN_ABUJA_WUSE_PRI_S_1-10.35.12.34,10.35.12.34
VBN_ABUJA_MAITAMAH_PRI_S_1-10.35.12.59,10.35.12.59
VBN_ABUJA_ASOKORO_SEC_S_1-10.35.12.51,10.35.12.51
VBN_ABUJA_ASOKORO_SEC_S_2-10.35.12.52,10.35.12.52
VBN_ABUJA_SHERATON-WUSE_SEC_S_1-10.35.12.53,10.35.12.53
VBN_ABUJA_HASSAN-MUSA-ASOKORO_SEC_S_1-10.35.12.56,10.35.12.56
VBN_ABUJA_MAITAMAH_PRI_S_2-10.35.12.62,10.35.12.62
VBN_IBADAN_DUGBE_PRI_S_1-10.35.12.66,10.35.12.66
VBN_IBADAN_ODO-ONA_SEC_S_1-10.35.12.67,10.35.12.67
VBN_IBADAN_IWO-ROAD_SEC_S_1-10.35.12.68,10.35.12.68
VBN_IBADAN_DUGBE_PRI_S_2-10.35.12.69,10.35.12.69
VBN_PHC_ELEME-JUNCTION_SEC_S_1-10.35.12.7,10.35.12.7
VBN_PHC_ONNE_SEC_S_1-10.35.12.9,10.35.12.9
VBN_WARRI_UGBORI_PRI_S_1-10.35.16.2,10.35.16.2
VBN_ILORIN_EMIR-PALACE_PRI_S_1-10.35.17.130,10.35.17.130
VBN_ILORIN_TIPPER_SEC_S_1-10.35.17.131,10.35.17.131
VBN_OWERRI_CIVC-CENTERPRI_PRI_S_1-10.35.17.138,10.35.17.138
VBN_JOS_AIRFORCE_SEC_S_1-10.35.17.155,10.35.17.155
VBN_JOS_AKALI_SEC_S_1-10.35.17.157,10.35.17.157
VBN_MAKURDI_WURUKUN-MARKET_PRI_S_1-10.35.17.170,10.35.17.170
VBN_MINNA_BOSS-ROAD_SEC_S_1-10.35.17.186,10.35.17.186
VBN_LAGOS_BOOKSHOP_PRI_S_1-10.35.17.24,10.35.17.24
VBN_LAGOS_BOOKSHOP_PRI_S_2-10.35.17.26,10.35.17.26
VBN_UYO_ETOK-AKPAN_PRI_S_1-10.35.17.42,10.35.17.42
VBN_ABEOKUTA_EKO-SURU_PRI_S_1-10.35.17.51,10.35.17.51
VBN_CALABAR_HOUSING-ESTATE_PRI_S_1-10.35.17.74,10.35.17.74
VBN_SOKOTO_UNGUWAR-ROCCO_PRI_S_1-10.35.18.154,10.35.18.154
VBN_LOKOJA_RADIO_PRI_S_1-10.35.18.2,10.35.18.2
VBN_YENAGOA_B-DIVISION_PRI_S_1-10.35.18.34,10.35.18.34
VBN_AKURE_OJA-OSHODI_PRI_S_1-10.35.18.66,10.35.18.66
VBN_PHC_WIMPEY_PRI_S_2-10.35.20.170,10.35.20.170
VBN_YOLA_ZANGO-WARD_PRI_S_1-10.35.22.114,10.35.22.114
VBN_ABAKALIKI_JEMENI_PRI_S_1-10.35.22.130,10.35.22.130
VBN_GOMBE_MALLAM-INNA_PRI_S_1-10.35.22.82,10.35.22.82
VBN_KATSINA_MULKUDI_PRI_S_1-10.35.22.98,10.35.22.98
VBN_LAGOS_ALAGBADO_SEC_S_1-10.35.36.131,10.35.36.131
VBN_LAGOS_IPAJA_SEC_S_1-10.35.36.134,10.35.36.134
VBN_LAGOS_MARYLAND_SEC_S_1-10.35.36.150,10.35.36.150
VBN_LAGOS_IKOTUN-IDIMU_SEC_S_1-10.35.36.153,10.35.36.153
VBN_LAGOS_TRADEFAIR_SEC_S_1-10.35.36.197,10.35.36.197
VBN_LAGOS_IKOTA_SEC_S_1-10.35.40.195,10.35.40.195
VBN_LAGOS_IGBO-EFON_SEC_S_1-10.35.37.54,10.35.37.54
VBN_LAGOS_SHASHA_SEC_S_1-10.35.38.138,10.35.38.138
VBN_LAGOS_ZENON_PRI_S_2-10.35.40.114,10.35.40.114
VBN_LAGOS_ZENON_PRI_S_1-10.35.40.116,10.35.40.116
VBN_LAGOS_ZENON_ZFS_S_1_NN1-10.35.40.117,10.35.40.117
VBN_LAGOS_SURULERE_SEC_S_2-10.35.40.146,10.35.40.146
VBN_LAGOS_SURULERE_SEC_S_1-10.35.40.148,10.35.40.148
VBN_LAGOS_GERRARD_SEC_S_1-10.35.40.162,10.35.40.162
VBN_LAGOS_GERRARD_SEC_S_2-10.35.40.164,10.35.40.164
VBN_LAGOS_ILUPEJU_SEC_S_2-10.35.40.178,10.35.40.178
VBN_LAGOS_ILUPEJU_SEC_S_1-10.35.40.180,10.35.40.180
VBN_LAGOS_LEKKI_SEC_S_1-10.35.40.194,10.35.40.194
VBN_LAGOS_LEKKI_SEC_S_2-10.35.40.196,10.35.40.196
VBN_LAGOS_APAPA_SEC_S_1-10.35.40.210,10.35.40.210
VBN_LAGOS_APAPA_SEC_S_2-10.35.40.212,10.35.40.212
VBN_LAGOS_AJAH_PRI_S_1-10.35.40.226,10.35.40.226
VBN_LAGOS_FESTAC_SEC_S_1-10.35.40.242,10.35.40.242
VBN_OTTA_IPAMESAN_SEC_S_1-10.35.42.146,10.35.42.146
VBN_LAGOS_IKORODU_SEC_S_1-10.35.42.18,10.35.42.18
VBN_LAGOS_AGEGE_SEC_S_1-10.35.42.2,10.35.42.2
VBN_LAGOS_OJO_SEC_S_1-10.35.42.34,10.35.42.34
VBN_LAGOS_AGBARA_SEC_S_1-10.35.42.50,10.35.42.50
VBN_LAGOS_RACK-CENTRE_PRI_S_1-10.35.42.66,10.35.42.66
VBN_LAGOS_RACK-CENTRE_PRI_S_2-10.35.42.68,10.35.42.68
VBN_LAGOS_RACK-CENTRE_PRI_S_3-10.35.42.69,10.35.42.69
VBN_LAGOS_RACK-CENTRE_PRI_S_4-10.35.42.70,10.35.42.70
VBN_BAUCHI_NASSARAWA-RD_PRI_S_1-10.35.44.71,10.35.44.71
VBN_OSHOGBO_IKIRUN-RASCO_PRI_S_1-10.35.44.82,10.35.44.82
VBN_PHC_BARNABAS-CHURCH-IGWURUTA_SEC_S_1-10.35.45.148,10.35.45.148
VBN_PHC_OHIA-ISIAPEDE-RUMUADAOLU_SEC_S_1-10.35.45.151,10.35.45.151
VBN_PHC_ELEKHIA_SEC_S_1-10.35.45.154,10.35.45.154
VBN_LAGOS_SWIFT_PRI_S_1-10.35.45.210,10.35.45.210
